RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,Consent,"How do you access the textbook?<br><span style=""color: #808080;"">Check all that apply.</span>",,,,,,,,"If you use the text in electronic form, what is your preferred reader software?","When using the text in hardcopy, do you ...<br><span style=""color: #999999;"">Check all that apply.</span>",,,,,"When using the text in electronic form do you....<br><span style=""color: #999999;"">Check all that apply.</span>",,,,,,How often do you consult the textbook?,Do you read the text in preparation for lectures?,Do you review the text right after the material was covered in lectures?,Do you consult the text during lectures?,Do you read the text in preparation for exams?,Do you consult the text when working on homework problems?,How well placed are the figures in relation to the material they discuss?,How much do figures and diagrams help you understand the text?,How well are examples used to explain the material?,How adequate is the number of exercises/problems?,Is the text well-organized?,Do the explanations provide enough detail?,How engaging/interesting is the writing?,How understandable/clear is the writing?,What do you like about the text?,What do you dislike about the text?,How much money would you be happy to spend on a textbook for this course?,How much did the cost of the textbook influence your decision to buy it?,Is the price of the textbook too high for the amount of learning support it provides?,What is your gender identity?,What is your current year in university?,"What is your major?<br><span style=""color: #999999;"">If you have not declared a major, please check all subjects that you are considering.</span>",,,,,,,,"<strong>What final grade do you expect to receive in this course?</strong><br><strong><span style=""color: #808080;"">(Use ""W"" if you have withdrawn from the course or plan to.)</span></strong>"
5131269879,94801263,12/08/2016 19:25,12/08/2016 19:29,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,,,,I don't use the text in electronic fom,Once a week,2,2,Never<br>1,Always<br>5,3,4,3,Very much so<br>5,4,4,4,3,4,It is concise and intuitive ,It tends to recycle a lot of the same examples (Always frogs for some reason),Between 50 and 100$,2,Not at all<br>1,Man,Second year,,,,Philosophy,,,,,C
5131262812,94806945,12/08/2016 19:21,12/08/2016 19:24,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,,,,,,,Rarely,2,2,Never<br>1,2,2,2,Not at all<br>1,Not at all<br>1,2,3,Not at all<br>1,Very boring<br>1,,the first chapter was easy to read and understand.,"Every chapter, excluding the first was very difficult to understand. ",Between 20 and 50$,2,3,Woman,First Year,Mathematics,,,,,,,,B
5131243819,94618603,12/08/2016 19:10,12/08/2016 19:14,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,Free PDF provided by prof,PDF,Underline or highlight text,Make notes in the text,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,,,,,Several times a week,4,Never<br>1,2,Always<br>5,Always<br>5,Very well<br>5,4,Very much so<br>5,Very much so<br>5,Very much so<br>5,4,4,Very clear<br>5,"I liked how wide the margins were, allowed for notes. I also enjoyed the format, with lots of examples and step-by-step process. ",N/A,Between 50 and 100$,No influence at all<br>1,Not at all<br>1,Woman,Other,,,,,,,,Psychology + Zoology,W
5131028913,94806945,12/08/2016 17:09,12/08/2016 17:17,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,"Make notes separately, not in the text",,Print portions of the text,,Once or twice a month,2,2,Never<br>1,4,3,2,4,2,3,2,3,2,Not clear at all<br>1,It's small and easy to carry with you.,Very difficult to understand. The information is presented in a formal way and the examples are not very relatable. Does not summarize the concepts in a way that helps you grasp the overall idea behind the logic. It could explain how to find a solution to a problem better through a more step by step format. I would use the textbook more if I found it more helpful for my understanding of logic. ,Between 50 and 100$,No influence at all<br>1,2,Woman,Second year,,Computer Science,,,,,,,A-
5130954224,94806945,12/08/2016 16:30,12/08/2016 16:35,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,,,,,,I don't use the text in electronic fom,Once every couple of months,Never<br>1,Never<br>1,Never<br>1,2,3,3,3,4,3,4,3,2,2,,,Under 20$,3,Very much so<br>5,Woman,Fourth year,,,,,,,,Economics ,A
5130387994,94806945,12/08/2016 9:14,12/08/2016 9:17,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,,,,I don't use the text in electronic fom,Several times a week,Always<br>5,Always<br>5,3,Always<br>5,Always<br>5,3,3,3,4,3,4,3,2,,,Under 20$,2,4,Man,First Year,,Computer Science,,,,,,,B
5130252568,94618603,12/08/2016 6:13,12/08/2016 6:18,,,,,,"I have read and agree with the above, take me to the survey.",,,,"I have an electronic version of the textbook, but did not buy it myself",,,,,Evince (Standard GNOME Linux document reader),,,,,I don't use the text in hardcopy,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,Several times a week,4,Never<br>1,Never<br>1,Always<br>5,Always<br>5,Very well<br>5,4,4,4,4,4,3,4,The fact that it was provided for free was huge.  The fact that it was an annotated PDF with section bookmarks was also nice.,"A couple typos here and there, but nothing major.  Not amazingly engaging, but it's a logic textbook. Not much can be done there.",Between 20 and 50$,A major factor<br>5,Not at all<br>1,Man,Fourth year,,Computer Science,,,,,,,A+
5130237290,94618603,12/08/2016 5:47,12/08/2016 5:58,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,"I have an electronic version of the textbook, but did not buy it myself",,,,,Adobe Acrobat Reader,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,"Make notes separately, not in the text",,,,Several times a week,3,2,Never<br>1,Always<br>5,Always<br>5,3,Very much<br>5,3,3,Very much so<br>5,3,2,3,I like how it's really organized.,Some parts are too heavy to read.,Under 20$,A major factor<br>5,Not at all<br>1,Woman,Third year,,Computer Science,,,,,,,C-
5130214010,94806945,12/08/2016 5:12,12/08/2016 5:19,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,Make notes in the text,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,,,,I don't use the text in electronic fom,Several times a week,4,3,3,Always<br>5,Always<br>5,Very well<br>5,4,3,3,4,3,3,3,The text is written in a logical manner that builds your knowledge of the subject at a reasonable pace. ,The text is written in a stilted manner that sometimes makes it difficult or less enjoyable to follow.,Between 20 and 50$,A major factor<br>5,2,Man,First Year,,Computer Science,,,,,,,A+
5130078710,94806945,12/08/2016 2:04,12/08/2016 2:09,,,,,,"I have read and agree with the above, take me to the survey.",,,,,,,I do not have or use the text at all,,,,,,,I don't use the text in hardcopy,,,,,,I don't use the text in electronic fom,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,,,,,,,,,,,Under 20$,A major factor<br>5,Very much so<br>5,Man,Second year,,Computer Science,,,,,,,A
5130072531,94806945,12/08/2016 2:00,12/08/2016 2:05,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,,,,,,I don't use the text in electronic fom,Rarely,Never<br>1,Never<br>1,Never<br>1,2,Never<br>1,4,3,Very much so<br>5,3,Very much so<br>5,3,4,4,"Kind of tells a story, so is interesting.",Not concise,Under 20$,4,4,Man,First Year,,,,,,,,Neuroscience ,A
5130071618,94806945,12/08/2016 2:00,12/08/2016 2:01,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,,,,,,,Rarely,2,2,Never<br>1,Never<br>1,Never<br>1,Not well at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,3,4,,,Between 20 and 50$,3,Very much so<br>5,Man,Second year,,,Physics,,Engineering,,,,A
5130069992,94801263,12/08/2016 1:58,12/08/2016 2:00,,,,,,"I have read and agree with the above, take me to the survey.",,,,,,,I do not have or use the text at all,,,,,,,I don't use the text in hardcopy,,,,,,I don't use the text in electronic fom,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,,,,,,,,,,,,2,,Woman,Second year,,Computer Science,,,,,,,A
5130051018,94806945,12/08/2016 1:37,12/08/2016 1:39,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,,Use bookmarks or flags to highlight places in the text,,,,,,,I don't use the text in electronic fom,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,3,3,3,3,3,3,3,3,I've never actually used the textbook because the class covers everything I need...,,0$,4,Very much so<br>5,Woman,Second year,,Computer Science,,,,,,,B
5130049416,94806945,12/08/2016 1:34,12/08/2016 1:37,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,,,I don't use the text in hardcopy,,,,,,,Once or twice a month,Never<br>1,Never<br>1,Never<br>1,3,3,3,3,4,4,4,4,4,3,,,Between 20 and 50$,3,3,Man,First Year,,Computer Science,Physics,,,,,,A
5130011123,94806945,12/08/2016 0:53,12/08/2016 0:57,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,,,,,,,,,,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Not well at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,Very boring<br>1,Not clear at all<br>1,,,Between 20 and 50$,No influence at all<br>1,Not at all<br>1,Man,Second year,,,,,,,,Biomedical Sciences,A+
5129988907,94806945,12/08/2016 0:30,12/08/2016 0:34,,,,,,"I have read and agree with the above, take me to the survey.",,,,,,,I do not have or use the text at all,,,,,,,I don't use the text in hardcopy,,,,,,I don't use the text in electronic fom,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Not well at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,Not at all<br>1,Very boring<br>1,Not clear at all<br>1,,,0$,A major factor<br>5,Very much so<br>5,Man,Second year,,,,,,,,Bioinformatics,A
5129982273,94801263,12/08/2016 0:23,12/08/2016 0:32,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,Underline or highlight text,Make notes in the text,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,,,,,Once or twice a month,Never<br>1,2,Never<br>1,4,Never<br>1,4,2,Not at all<br>1,4,3,Not at all<br>1,Very boring<br>1,Not clear at all<br>1,"It uses lots of examples to get basic points across early in the text, that drops off later on. (Unfortunately.)","The physical copy has very low durability. It's designed almost as if it couldn't be returned to the Bookstore after purchasing. Overpriced cost of $50. An almost useless amount of examples with not enough emphasis on explaining the content in a manageable way. (I don't need 20 examples wasting multiple pages when I can't even understand what RAA is.)  Inaccessible language later on that repeatedly has the use backtrack in the book to a single explanation rather than attempting to re-detail, re-explain, and simplify definitions and example. The lack of accessible language almost makes it feel like you need to be a experienced in logic to understand the book.  No alternate copies or versions available, and no accessible electronic versions available.    Overall, my biggest gripe with taking the Logic class was the textbook itself. I've found it useless, and a scam considering it's considered vital to the course. Even more so when it's unlikely you'll be able to refund it if you choose to go without it, because the textbook could probably get damaged by a fly landing on it.",Under 20$,2,Very much so<br>5,Man,First Year,,Computer Science,,,,,,,C-
5129979224,94806945,12/08/2016 0:20,12/08/2016 0:26,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,,,,,,I don't use the text in electronic fom,Once or twice a month,Never<br>1,2,Never<br>1,Always<br>5,Never<br>1,3,3,2,4,4,2,3,3,Provides a concise description of all content covered within the course.    Plenty of opportunity for practice.    Useful to receive a different perspective of the course material.,"Perhaps a bit too concise. It's nice to have the material available in a form which is abbreviated, but if you don't understand the topic then a brief description and plenty of practice isn't going to help much.",Between 20 and 50$,4,4,Man,Third year,,,,,,,,Bioinformatics,A+
5129972862,94806945,12/08/2016 0:13,12/08/2016 0:14,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,,,I don't use the text in hardcopy,,,,,,,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,,,,,,,,,,,,,,,,,,,,,,,,
5129963220,94801263,12/08/2016 0:03,12/08/2016 0:05,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,Underline or highlight text,Make notes in the text,,Use bookmarks or flags to highlight places in the text,,,,,,,I don't use the text in electronic fom,Several times a week,3,3,Never<br>1,Always<br>5,Always<br>5,,,,,,,,,,,,,,,,,,,,,,,,
5129870941,94618603,12/07/2016 22:44,12/07/2016 22:47,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,"I have an electronic version of the textbook, but did not buy it myself",,,,,Adobe Acrobat Reader DC,,,"Make notes separately, not in the text",,,,,,,,,Several times a week,2,3,Never<br>1,4,Always<br>5,4,4,Very much so<br>5,3,3,2,2,2,Examples are clear,"Sometimes examples are incomplete, and instead ask you to finish them as an exercise. Lack of index.",Between 20 and 50$,A major factor<br>5,Not at all<br>1,Man,Second year,,Computer Science,,,,,,,A-
5129741992,94801263,12/07/2016 21:19,12/07/2016 21:23,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,"Make notes separately, not in the text",,,,,,,,,Once a week,3,Always<br>5,Never<br>1,Always<br>5,Always<br>5,Very well<br>5,Very much<br>5,4,Very much so<br>5,Very much so<br>5,Very much so<br>5,4,4,"It corresponds well to the course material. If something in the lecture was unclear, I can find clarification in the text. The text provides additional reading and exercises to enhance my understanding.","At times it is wordy. You must read through significantly more text than is required to get the ""fact"" you are looking for. However, I appreciate that there's a sense of humour to it. ",0$,No influence at all<br>1,Not at all<br>1,Woman,First Year,,Computer Science,,,,,,,A
5129737168,94618603,12/07/2016 21:16,12/07/2016 22:17,,,,,,"I have read and agree with the above, take me to the survey.",,,,"I have an electronic version of the textbook, but did not buy it myself",I borrow a copy of the text when I need it,I use the text in the library,I do not have or use the text at all,If it's not freely available I more than likely won't use it.,Foxit pdf reader,,,,,I don't use the text in hardcopy,Underline or highlight text,Make notes in the text,,Use bookmarks or flags to highlight places in the text,,,Once a week,2,2,2,4,Always<br>5,4,Very much<br>5,4,4,4,Very much so<br>5,3,4,It's freely available   It usually does a good job at explaining things,Sometimes it seems too wordy or not mathy enough.,0$,A major factor<br>5,Not at all<br>1,Man,Second year,,Computer Science,,,,,,,A-
5129699928,94801263,12/07/2016 20:55,12/07/2016 21:00,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,,,,,I don't use the text in hardcopy,,,,,,I don't use the text in electronic fom,Never,Never<br>1,Never<br>1,Never<br>1,Never<br>1,Never<br>1,3,3,3,3,3,3,2,2,I don't use it.,Not directly what is discussed in class. Professor does an adequate job explaining everything and putting up example problems.,0$,4,Very much so<br>5,Woman,Second year,,,,Philosophy,,,,double major with Sociology,A-
5129693701,94801263,12/07/2016 20:51,12/07/2016 20:54,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,,Underline or highlight text,,,,,,,,,,I don't use the text in electronic fom,Once a week,3,Never<br>1,Never<br>1,3,Never<br>1,4,2,2,4,4,3,Very boring<br>1,Not clear at all<br>1,It provides thorough explanations,Hard to understand,Between 20 and 50$,2,3,Woman,Fourth year,,,,,,,,Business,B+
5129684639,94801263,12/07/2016 20:46,12/07/2016 20:49,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,,PDF,,,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,,,"Make notes separately, not in the text",,Print portions of the text,,Rarely,2,2,Never<br>1,2,2,2,2,2,2,2,2,Very boring<br>1,2,,,Under 20$,No influence at all<br>1,4,Man,First Year,,Computer Science,,,,,,,B+
5129669763,94618603,12/07/2016 20:37,12/07/2016 20:43,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,,,,,Electronic version was supplied on D2L,Adobe Acrobat (PDF),,,"Make notes separately, not in the text",,,Underline or highlight text,,"Make notes separately, not in the text",,,,Several times a week,3,4,3,Always<br>5,Always<br>5,3,3,4,4,4,2,3,4,The clarity for most things; that definitions are bolded and separated in boxes; the summary sections. ,I feel that it needs more specific examples. Some of them are wordy and unclear. Long proofs are time consuming and hard to follow. Shorter ones that are simplified would be easier to understand. Do not like that there is no answer/hint key for the problems. Some are impossible without examples.,Between 20 and 50$,A major factor<br>5,Not at all<br>1,Woman,Fourth year,,,,Philosophy,,,,,B+
5129667785,94618603,12/07/2016 20:35,12/07/2016 21:10,,,,,,"I have read and agree with the above, take me to the survey.",,,,"I have an electronic version of the textbook, but did not buy it myself",,,,,adobe,,,,,I don't use the text in hardcopy,,,"Make notes separately, not in the text",,,,Once a week,2,3,Never<br>1,4,Always<br>5,3,2,4,4,4,3,4,4,That the definitions and theorems are outlined in boxes ,there's no solutions to problem sets ,Under 20$,2,Not at all<br>1,Woman,Third year,Mathematics,,,,,,,,B
5129663780,94618603,12/07/2016 20:34,12/07/2016 20:40,,,,,,"I have read and agree with the above, take me to the survey.",I have bought my own hardcopy of the textbook,,,"I have an electronic version of the textbook, but did not buy it myself",,,,,Adobe Reader ,Underline or highlight text,Make notes in the text,"Make notes separately, not in the text",Use bookmarks or flags to highlight places in the text,,Underline or highlight text,,"Make notes separately, not in the text",,,,Once a week,4,4,4,4,Always<br>5,Very well<br>5,Very much<br>5,Very much so<br>5,Very much so<br>5,Very much so<br>5,Very much so<br>5,4,Very clear<br>5,"Its clear, concise, and has all the information required to do my homework assignments.","It can be wordy at times, but over all it is a very helpful text book",Under 20$,A major factor<br>5,Not at all<br>1,Woman,Second year,Mathematics,Computer Science,,,,,,,C+
5129585763,94799261,12/07/2016 19:49,12/07/2016 19:50,136.159.144.33,rzach@ucalgary.ca,,,,"I have read and agree with the above, take me to the survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
